"","pets","sex","status","sign","pets_dislike","pets_like","pets_has"
"17214","likes dogs and likes cats","m","single","capricorn",NA,"dogs/cats",NA
"17215","likes dogs and likes cats","f","single","libra",NA,"dogs/cats",NA
"17216","has cats","f","single","taurus",NA,NA,"cats"
"17217",NA,"m","single","pisces",NA,NA,NA
"17218","has dogs and likes cats","m","single","capricorn",NA,"cats","dogs"
"17219","likes dogs and likes cats","m","single","gemini",NA,"dogs/cats",NA
"17220",NA,"m","single","cancer",NA,NA,NA
"17221","likes dogs","m","single","gemini",NA,"dogs",NA
"17222","likes dogs","m","single","gemini",NA,"dogs",NA
"17223","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"17224",NA,"m","single","pisces",NA,NA,NA
"17225","likes dogs and likes cats","m","single","gemini",NA,"dogs/cats",NA
"17226","likes dogs and likes cats","m","single","aries",NA,"dogs/cats",NA
"17227","likes dogs and has cats","m","seeing someone","leo",NA,"dogs","cats"
"17228","likes dogs","m","single","taurus",NA,"dogs",NA
"17229","likes dogs and likes cats","f","single","virgo",NA,"dogs/cats",NA
"17230","likes dogs and likes cats","f","married","cancer",NA,"dogs/cats",NA
"17231","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"17232","likes dogs","m","single","capricorn",NA,"dogs",NA
"17233","likes dogs","m","single","scorpio",NA,"dogs",NA
"17234","likes dogs and likes cats","f","single","gemini",NA,"dogs/cats",NA
"17235","likes dogs","f","seeing someone","sagittarius",NA,"dogs",NA
"17236",NA,"m","single","taurus",NA,NA,NA
"17237","has dogs and has cats","f","available","virgo",NA,NA,"dogs/cats"
"17238","likes dogs","m","single","aquarius",NA,"dogs",NA
"17239","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"17240","likes dogs and likes cats","f","single","virgo",NA,"dogs/cats",NA
"17241",NA,"m","single","sagittarius",NA,NA,NA
"17242",NA,"f","single","cancer",NA,NA,NA
"17243","has cats","m","single","libra",NA,NA,"cats"
"17244",NA,"m","single","taurus",NA,NA,NA
"17245",NA,"m","single","libra",NA,NA,NA
"17246","likes dogs and likes cats","f","single","gemini",NA,"dogs/cats",NA
"17247",NA,"m","single","gemini",NA,NA,NA
"17248","dislikes cats","m","single","aries","cats","cats",NA
"17249","likes dogs and likes cats","m","single","cancer",NA,"dogs/cats",NA
"17250","likes dogs and likes cats","m","single","sagittarius",NA,"dogs/cats",NA
"17251","has dogs and likes cats","f","single","libra",NA,"cats","dogs"
"17252","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"17253","likes dogs and has cats","f","single","taurus",NA,"dogs","cats"
"17254","has cats","f","single","sagittarius",NA,NA,"cats"
"17255","likes dogs and likes cats","m","single","aries",NA,"dogs/cats",NA
"17256","has dogs","m","single","virgo",NA,NA,"dogs"
"17257",NA,"m","single","libra",NA,NA,NA
"17258","likes dogs","m","single","sagittarius",NA,"dogs",NA
"17259","likes dogs and likes cats","f","single","taurus",NA,"dogs/cats",NA
"17260","has dogs and has cats","f","available","cancer",NA,NA,"dogs/cats"
"17261","likes cats","f","single","sagittarius",NA,"cats",NA
"17262","likes dogs and likes cats","f","single","pisces",NA,"dogs/cats",NA
"17263","likes dogs and likes cats","m","single","libra",NA,"dogs/cats",NA
"17264","likes dogs and likes cats","m","single","gemini",NA,"dogs/cats",NA
"17265","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"17266","likes dogs","m","single","scorpio",NA,"dogs",NA
"17267","has dogs and has cats","f","single","pisces",NA,NA,"dogs/cats"
"17268","likes dogs and likes cats","f","single","aries",NA,"dogs/cats",NA
"17269","likes dogs and likes cats","m","single","gemini",NA,"dogs/cats",NA
"17270","likes dogs and likes cats","f","single","aries",NA,"dogs/cats",NA
"17271",NA,"m","single","libra",NA,NA,NA
"17272",NA,"m","single","aquarius",NA,NA,NA
"17273","likes dogs and has cats","m","single","aquarius",NA,"dogs","cats"
"17274","likes dogs","f","single","pisces",NA,"dogs",NA
"17275",NA,"m","single","aquarius",NA,NA,NA
"17276",NA,"m","single","leo",NA,NA,NA
"17277","likes dogs and likes cats","m","single","taurus",NA,"dogs/cats",NA
"17278","likes dogs","m","single","cancer",NA,"dogs",NA
"17279","has dogs","f","single","taurus",NA,NA,"dogs"
"17280","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"17281",NA,"f","single","sagittarius",NA,NA,NA
"17282","likes dogs","m","single","cancer",NA,"dogs",NA
"17283","likes dogs and dislikes cats","m","single","taurus","cats","dogs",NA
"17284","likes dogs and dislikes cats","m","single","libra","cats","dogs",NA
"17285","has dogs and dislikes cats","f","single","pisces","cats","cats","dogs"
"17286",NA,"m","single","aquarius",NA,NA,NA
"17287",NA,"m","single","scorpio",NA,NA,NA
"17288","likes dogs and likes cats","f","single","virgo",NA,"dogs/cats",NA
"17289","likes dogs and has cats","f","single","cancer",NA,"dogs","cats"
"17290","likes dogs","f","single","virgo",NA,"dogs",NA
"17291","likes dogs and likes cats","f","seeing someone","cancer",NA,"dogs/cats",NA
"17292","likes dogs and has cats","f","single","pisces",NA,"dogs","cats"
"17293","likes dogs","m","single","aquarius",NA,"dogs",NA
"17294","has dogs","m","available","leo",NA,NA,"dogs"
"17295","likes dogs","m","single","leo",NA,"dogs",NA
"17296","likes dogs and likes cats","f","single","taurus",NA,"dogs/cats",NA
"17297","likes dogs","f","single","pisces",NA,"dogs",NA
"17298","likes dogs and has cats","f","single","virgo",NA,"dogs","cats"
"17299","likes dogs and has cats","f","single","aquarius",NA,"dogs","cats"
"17300",NA,"f","single","aries",NA,NA,NA
"17301","likes dogs and likes cats","f","available","scorpio",NA,"dogs/cats",NA
"17302","likes dogs and likes cats","f","single","capricorn",NA,"dogs/cats",NA
"17303",NA,"m","single","leo",NA,NA,NA
"17304","likes dogs and likes cats","f","single","leo",NA,"dogs/cats",NA
"17305","likes dogs","f","single","cancer",NA,"dogs",NA
"17306","likes dogs and dislikes cats","f","single","gemini","cats","dogs",NA
"17307","likes dogs and has cats","m","single","aquarius",NA,"dogs","cats"
"17308","likes dogs and likes cats","m","seeing someone","scorpio",NA,"dogs/cats",NA
"17309","has dogs and likes cats","f","single","aquarius",NA,"cats","dogs"
"17310","likes dogs and likes cats","f","single","libra",NA,"dogs/cats",NA
"17311","likes dogs and has cats","f","single","taurus",NA,"dogs","cats"
"17312","likes dogs and likes cats","f","single","libra",NA,"dogs/cats",NA
"17313","likes dogs","f","single","taurus",NA,"dogs",NA
"17314",NA,"m","single","taurus",NA,NA,NA
"17315","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"17316","likes dogs","m","single","taurus",NA,"dogs",NA
"17317","likes dogs and likes cats","m","single","capricorn",NA,"dogs/cats",NA
"17318",NA,"f","single","leo",NA,NA,NA
"17319","likes dogs and likes cats","f","single","gemini",NA,"dogs/cats",NA
"17320","likes dogs and dislikes cats","f","single","virgo","cats","dogs",NA
"17321","has dogs and likes cats","f","single","sagittarius",NA,"cats","dogs"
"17322","likes dogs and dislikes cats","m","seeing someone","gemini","cats","dogs",NA
"17323","likes dogs","m","single","taurus",NA,"dogs",NA
"17324","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"17325","has dogs and likes cats","m","single","gemini",NA,"cats","dogs"
"17326",NA,"m","single","cancer",NA,NA,NA
"17327",NA,"f","single","taurus",NA,NA,NA
"17328","has dogs and likes cats","f","single","leo",NA,"cats","dogs"
"17329","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"17330","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"17331","has dogs and has cats","m","single","aquarius",NA,NA,"dogs/cats"
"17332","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"17333",NA,"m","single","virgo",NA,NA,NA
"17334","likes dogs and has cats","m","single","aquarius",NA,"dogs","cats"
"17335","has cats","f","single","capricorn",NA,NA,"cats"
"17336","likes cats","f","single","sagittarius",NA,"cats",NA
"17337","likes dogs and likes cats","m","seeing someone","scorpio",NA,"dogs/cats",NA
"17338","likes dogs and has cats","m","single","leo",NA,"dogs","cats"
"17339","likes dogs and has cats","m","single","libra",NA,"dogs","cats"
"17340","has dogs","m","single","sagittarius",NA,NA,"dogs"
"17341","likes cats","m","single","gemini",NA,"cats",NA
"17342","likes dogs","m","single","pisces",NA,"dogs",NA
"17343","has dogs and likes cats","m","single","taurus",NA,"cats","dogs"
"17344","likes cats","f","seeing someone","libra",NA,"cats",NA
"17345",NA,"m","single","taurus",NA,NA,NA
"17346",NA,"f","single","virgo",NA,NA,NA
"17347","likes dogs and likes cats","f","single","leo",NA,"dogs/cats",NA
"17348","likes dogs and likes cats","f","single","scorpio",NA,"dogs/cats",NA
"17349",NA,"m","single","sagittarius",NA,NA,NA
"17350","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"17351","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"17352","likes dogs and likes cats","m","single","sagittarius",NA,"dogs/cats",NA
"17353","likes dogs","f","single","pisces",NA,"dogs",NA
"17354","likes dogs","f","single","capricorn",NA,"dogs",NA
"17355",NA,"f","single","leo",NA,NA,NA
"17356","likes dogs","m","single","gemini",NA,"dogs",NA
"17357","has dogs and likes cats","m","single","gemini",NA,"cats","dogs"
"17358",NA,"m","single","sagittarius",NA,NA,NA
"17359","likes dogs and likes cats","m","single","gemini",NA,"dogs/cats",NA
"17360","likes dogs and likes cats","m","single","pisces",NA,"dogs/cats",NA
"17361","has cats","f","single","aries",NA,NA,"cats"
"17362",NA,"f","single","libra",NA,NA,NA
"17363","likes dogs","m","single","cancer",NA,"dogs",NA
"17364","likes dogs and likes cats","m","single","scorpio",NA,"dogs/cats",NA
"17365","likes dogs","f","single","capricorn",NA,"dogs",NA
"17366","likes dogs and likes cats","f","available","aquarius",NA,"dogs/cats",NA
"17367",NA,"f","single","leo",NA,NA,NA
"17368","likes dogs and likes cats","m","single","cancer",NA,"dogs/cats",NA
"17369","likes dogs and likes cats","m","single","sagittarius",NA,"dogs/cats",NA
"17370","has dogs","m","single","gemini",NA,NA,"dogs"
"17371","has dogs","m","single","pisces",NA,NA,"dogs"
"17372","has dogs and likes cats","f","single","cancer",NA,"cats","dogs"
"17373","likes dogs and has cats","f","single","libra",NA,"dogs","cats"
"17374","likes dogs and likes cats","f","single","libra",NA,"dogs/cats",NA
"17375","has dogs","f","single","capricorn",NA,NA,"dogs"
"17376","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"17377","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"17378","likes dogs and likes cats","f","single","pisces",NA,"dogs/cats",NA
"17379",NA,"f","single","gemini",NA,NA,NA
"17380","dislikes cats","m","single","libra","cats","cats",NA
"17381","likes dogs and has cats","m","single","taurus",NA,"dogs","cats"
"17382","likes dogs and has cats","m","single","libra",NA,"dogs","cats"
"17383",NA,"m","single","cancer",NA,NA,NA
"17384","likes dogs and has cats","m","single","virgo",NA,"dogs","cats"
"17385",NA,"m","seeing someone","pisces",NA,NA,NA
"17386","likes dogs and likes cats","m","single","pisces",NA,"dogs/cats",NA
"17387","has dogs and has cats","f","single","libra",NA,NA,"dogs/cats"
"17388","likes dogs","f","single","cancer",NA,"dogs",NA
"17389","likes dogs and likes cats","m","single","gemini",NA,"dogs/cats",NA
"17390",NA,"f","single","leo",NA,NA,NA
"17391","likes dogs and likes cats","m","single","capricorn",NA,"dogs/cats",NA
"17392","likes dogs","m","single","virgo",NA,"dogs",NA
"17393",NA,"m","single","cancer",NA,NA,NA
"17394",NA,"m","single","leo",NA,NA,NA
"17395","likes dogs and likes cats","f","single","scorpio",NA,"dogs/cats",NA
"17396","likes dogs and has cats","m","single","libra",NA,"dogs","cats"
"17397","has dogs and has cats","f","single","capricorn",NA,NA,"dogs/cats"
"17398","likes dogs and likes cats","f","seeing someone","aries",NA,"dogs/cats",NA
"17399","has dogs and likes cats","f","single","cancer",NA,"cats","dogs"
"17400","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"17401",NA,"m","seeing someone","cancer",NA,NA,NA
"17402","likes dogs and likes cats","m","single","sagittarius",NA,"dogs/cats",NA
"17403","likes dogs and likes cats","m","single","cancer",NA,"dogs/cats",NA
"17404",NA,"m","married","aquarius",NA,NA,NA
"17405","likes dogs and likes cats","m","available","virgo",NA,"dogs/cats",NA
"17406","has dogs and dislikes cats","f","single","aries","cats","cats","dogs"
"17407","likes dogs and has cats","f","single","aquarius",NA,"dogs","cats"
"17408","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"17409","has dogs","f","single","capricorn",NA,NA,"dogs"
"17410","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"17411","likes dogs and likes cats","m","single","libra",NA,"dogs/cats",NA
"17412","likes dogs and likes cats","m","single","capricorn",NA,"dogs/cats",NA
"17413",NA,"f","single","gemini",NA,NA,NA
"17414","likes dogs","f","single","taurus",NA,"dogs",NA
"17415","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"17416",NA,"m","single","libra",NA,NA,NA
"17417","has dogs and has cats","f","single","pisces",NA,NA,"dogs/cats"
"17418","likes dogs and has cats","m","single","aquarius",NA,"dogs","cats"
"17419",NA,"m","seeing someone","pisces",NA,NA,NA
"17420","likes dogs","f","single","leo",NA,"dogs",NA
"17421","likes dogs","m","single","libra",NA,"dogs",NA
"17422","has dogs and dislikes cats","f","single","scorpio","cats","cats","dogs"
"17423",NA,"f","single","taurus",NA,NA,NA
"17424","likes dogs and likes cats","m","single","sagittarius",NA,"dogs/cats",NA
"17425","likes dogs and likes cats","f","available","scorpio",NA,"dogs/cats",NA
"17426",NA,"f","available","aquarius",NA,NA,NA
"17427","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"17428","likes dogs and has cats","f","single","capricorn",NA,"dogs","cats"
"17429","likes dogs and likes cats","m","single","sagittarius",NA,"dogs/cats",NA
"17430",NA,"m","single","scorpio",NA,NA,NA
"17431","likes dogs","m","single","aries",NA,"dogs",NA
"17432","likes dogs and dislikes cats","f","single","taurus","cats","dogs",NA
"17433","likes dogs and has cats","f","single","virgo",NA,"dogs","cats"
"17434","likes dogs and likes cats","f","single","libra",NA,"dogs/cats",NA
"17435","likes dogs and has cats","m","single","taurus",NA,"dogs","cats"
"17436","likes dogs and likes cats","f","single","aquarius",NA,"dogs/cats",NA
"17437","likes dogs and likes cats","f","single","libra",NA,"dogs/cats",NA
"17438","likes dogs and likes cats","f","single","libra",NA,"dogs/cats",NA
"17439","likes dogs and likes cats","f","single","leo",NA,"dogs/cats",NA
"17440","has dogs","f","single","gemini",NA,NA,"dogs"
"17441","has dogs and has cats","f","single","cancer",NA,NA,"dogs/cats"
"17442","has dogs","m","single","taurus",NA,NA,"dogs"
"17443","likes dogs","m","single","libra",NA,"dogs",NA
"17444","likes dogs and likes cats","m","single","leo",NA,"dogs/cats",NA
"17445","likes dogs and likes cats","m","available","virgo",NA,"dogs/cats",NA
"17446","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"17447",NA,"m","single","aquarius",NA,NA,NA
"17448","likes dogs and has cats","f","single","gemini",NA,"dogs","cats"
"17449","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"17450","likes dogs","f","single","virgo",NA,"dogs",NA
"17451","likes dogs and has cats","f","single","virgo",NA,"dogs","cats"
"17452","has dogs and has cats","f","available","gemini",NA,NA,"dogs/cats"
"17453","likes dogs and likes cats","f","single","scorpio",NA,"dogs/cats",NA
"17454",NA,"f","seeing someone","taurus",NA,NA,NA
"17455","likes dogs and has cats","f","single","leo",NA,"dogs","cats"
"17456",NA,"f","single","virgo",NA,NA,NA
"17457","likes dogs","f","single","virgo",NA,"dogs",NA
"17458","has dogs and likes cats","m","married","capricorn",NA,"cats","dogs"
"17459","has dogs and likes cats","f","single","capricorn",NA,"cats","dogs"
"17460","likes dogs and has cats","f","seeing someone","capricorn",NA,"dogs","cats"
"17461","likes dogs and likes cats","f","single","sagittarius",NA,"dogs/cats",NA
"17462",NA,"f","single","aquarius",NA,NA,NA
"17463",NA,"f","single","aquarius",NA,NA,NA
"17464",NA,"f","single","cancer",NA,NA,NA
"17465","has dogs and likes cats","f","single","cancer",NA,"cats","dogs"
"17466","likes dogs","f","single","capricorn",NA,"dogs",NA
"17467",NA,"f","single","cancer",NA,NA,NA
"17468",NA,"m","single","leo",NA,NA,NA
"17469",NA,"m","single","virgo",NA,NA,NA
"17470","has dogs","f","single","gemini",NA,NA,"dogs"
"17471",NA,"f","single","libra",NA,NA,NA
"17472","likes dogs and likes cats","m","single","libra",NA,"dogs/cats",NA
"17473",NA,"m","single","aries",NA,NA,NA
"17474","likes dogs and has cats","m","single","aquarius",NA,"dogs","cats"
"17475","likes dogs and likes cats","m","single","gemini",NA,"dogs/cats",NA
"17476","likes dogs and likes cats","m","single","libra",NA,"dogs/cats",NA
"17477","likes dogs and likes cats","f","single","cancer",NA,"dogs/cats",NA
"17478","has dogs and has cats","m","single","leo",NA,NA,"dogs/cats"
"17479",NA,"f","single","leo",NA,NA,NA
"17480",NA,"f","single","sagittarius",NA,NA,NA
"17481","likes dogs and likes cats","f","single","sagittarius",NA,"dogs/cats",NA
"17482",NA,"m","single","virgo",NA,NA,NA
"17483","has dogs","f","single","libra",NA,NA,"dogs"
"17484","has dogs","m","single","virgo",NA,NA,"dogs"
"17485","has dogs and likes cats","f","single","aquarius",NA,"cats","dogs"
"17486","likes dogs and likes cats","f","available","capricorn",NA,"dogs/cats",NA
"17487",NA,"m","single","aquarius",NA,NA,NA
"17488",NA,"f","single","capricorn",NA,NA,NA
"17489",NA,"m","single","aries",NA,NA,NA
"17490",NA,"m","single","gemini",NA,NA,NA
"17491",NA,"m","single","leo",NA,NA,NA
"17492","likes dogs and has cats","f","seeing someone","cancer",NA,"dogs","cats"
"17493","has dogs and dislikes cats","f","single","virgo","cats","cats","dogs"
"17494","has dogs","f","single","virgo",NA,NA,"dogs"
"17495","likes dogs and has cats","m","single","taurus",NA,"dogs","cats"
"17496","likes dogs and likes cats","m","single","libra",NA,"dogs/cats",NA
"17497","likes dogs and likes cats","f","single","aquarius",NA,"dogs/cats",NA
"17498",NA,"f","single","scorpio",NA,NA,NA
"17499","likes dogs and dislikes cats","m","single","pisces","cats","dogs",NA
"17500","has dogs and has cats","m","single","capricorn",NA,NA,"dogs/cats"
"17501","likes dogs and has cats","m","single","gemini",NA,"dogs","cats"
"17502","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"17503","likes dogs and likes cats","f","single","gemini",NA,"dogs/cats",NA
"17504","likes dogs and likes cats","m","single","capricorn",NA,"dogs/cats",NA
"17505","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"17506",NA,"f","single","taurus",NA,NA,NA
"17507","likes dogs","m","single","leo",NA,"dogs",NA
"17508","likes dogs","m","single","pisces",NA,"dogs",NA
"17509","likes dogs and dislikes cats","m","single","leo","cats","dogs",NA
"17510","has dogs","m","single","sagittarius",NA,NA,"dogs"
"17511","likes dogs and has cats","m","single","virgo",NA,"dogs","cats"
"17512","likes dogs","m","single","libra",NA,"dogs",NA
"17513","likes dogs and likes cats","f","single","leo",NA,"dogs/cats",NA
"17514","likes dogs and likes cats","m","single","libra",NA,"dogs/cats",NA
"17515","likes dogs","m","single","aries",NA,"dogs",NA
"17516","likes dogs and likes cats","m","single","gemini",NA,"dogs/cats",NA
"17517","has dogs","m","single","capricorn",NA,NA,"dogs"
"17518","likes dogs and likes cats","m","available","capricorn",NA,"dogs/cats",NA
"17519","has cats","m","single","taurus",NA,NA,"cats"
"17520","likes dogs and dislikes cats","m","single","virgo","cats","dogs",NA
"17521","has dogs","f","single","gemini",NA,NA,"dogs"
"17522","likes dogs and likes cats","f","single","sagittarius",NA,"dogs/cats",NA
"17523","likes dogs and likes cats","m","single","capricorn",NA,"dogs/cats",NA
"17524","has dogs and likes cats","m","single","aries",NA,"cats","dogs"
"17525",NA,"m","single","aries",NA,NA,NA
"17526",NA,"f","single","leo",NA,NA,NA
"17527","likes dogs and likes cats","f","single","aquarius",NA,"dogs/cats",NA
"17528","has dogs","m","seeing someone","scorpio",NA,NA,"dogs"
"17529",NA,"m","single","capricorn",NA,NA,NA
"17530",NA,"m","single","virgo",NA,NA,NA
"17531","likes dogs","m","available","pisces",NA,"dogs",NA
"17532",NA,"f","single","capricorn",NA,NA,NA
"17533","likes dogs and likes cats","m","single","cancer",NA,"dogs/cats",NA
"17534","has dogs","f","single","gemini",NA,NA,"dogs"
"17535","likes dogs","m","single","libra",NA,"dogs",NA
"17536","has dogs","f","single","libra",NA,NA,"dogs"
"17537","likes dogs and has cats","f","single","gemini",NA,"dogs","cats"
"17538","likes dogs and likes cats","m","single","taurus",NA,"dogs/cats",NA
"17539","likes dogs and likes cats","f","single","gemini",NA,"dogs/cats",NA
"17540","likes dogs and likes cats","f","single","libra",NA,"dogs/cats",NA
"17541",NA,"m","single","leo",NA,NA,NA
"17542","likes dogs","f","single","aquarius",NA,"dogs",NA
"17543","has dogs","f","single","virgo",NA,NA,"dogs"
"17544","has cats","f","single","leo",NA,NA,"cats"
"17545","likes dogs and likes cats","f","single","virgo",NA,"dogs/cats",NA
"17546",NA,"m","single","libra",NA,NA,NA
"17547","likes dogs and has cats","m","single","cancer",NA,"dogs","cats"
"17548","likes dogs","m","single","pisces",NA,"dogs",NA
"17549",NA,"m","single","libra",NA,NA,NA
"17550",NA,"f","single","cancer",NA,NA,NA
"17551",NA,"m","single","aries",NA,NA,NA
"17552","likes dogs and has cats","f","single","taurus",NA,"dogs","cats"
"17553","likes dogs and dislikes cats","f","single","scorpio","cats","dogs",NA
"17554","likes dogs and likes cats","m","single","aquarius",NA,"dogs/cats",NA
"17555",NA,"m","single","pisces",NA,NA,NA
"17556",NA,"f","single","pisces",NA,NA,NA
"17557",NA,"f","single","capricorn",NA,NA,NA
"17558","likes dogs and has cats","m","single","sagittarius",NA,"dogs","cats"
"17559","likes dogs and likes cats","f","single","leo",NA,"dogs/cats",NA
"17560","likes dogs and likes cats","f","single","pisces",NA,"dogs/cats",NA
"17561","likes dogs and dislikes cats","f","single","aquarius","cats","dogs",NA
"17562","has dogs and likes cats","m","single","sagittarius",NA,"cats","dogs"
"17563","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"17564","likes dogs and dislikes cats","m","single","capricorn","cats","dogs",NA
"17565",NA,"f","single","cancer",NA,NA,NA
"17566","likes dogs and dislikes cats","m","single","aries","cats","dogs",NA
"17567","has dogs and likes cats","f","single","aries",NA,"cats","dogs"
"17568","likes dogs and likes cats","f","single","cancer",NA,"dogs/cats",NA
"17569","has dogs","m","single","pisces",NA,NA,"dogs"
"17570","has dogs","m","single","gemini",NA,NA,"dogs"
"17571","likes dogs and has cats","m","single","cancer",NA,"dogs","cats"
"17572",NA,"m","available","cancer",NA,NA,NA
"17573","has dogs and likes cats","m","available","virgo",NA,"cats","dogs"
"17574",NA,"m","single","scorpio",NA,NA,NA
"17575","likes dogs and likes cats","f","single","leo",NA,"dogs/cats",NA
"17576","has dogs","m","single","aquarius",NA,NA,"dogs"
"17577",NA,"m","available","pisces",NA,NA,NA
"17578","likes dogs and likes cats","f","single","pisces",NA,"dogs/cats",NA
"17579",NA,"m","single","pisces",NA,NA,NA
"17580","has dogs and likes cats","f","single","gemini",NA,"cats","dogs"
"17581","likes dogs and dislikes cats","m","single","scorpio","cats","dogs",NA
"17582",NA,"m","single","pisces",NA,NA,NA
"17583","dislikes dogs and has cats","f","single","cancer","dogs","dogs","cats"
"17584","has dogs and likes cats","f","single","taurus",NA,"cats","dogs"
"17585","likes dogs and likes cats","m","single","capricorn",NA,"dogs/cats",NA
"17586",NA,"f","available","pisces",NA,NA,NA
"17587",NA,"m","single","sagittarius",NA,NA,NA
"17588","likes dogs and has cats","f","single","aries",NA,"dogs","cats"
"17589","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"17590",NA,"f","single","aquarius",NA,NA,NA
"17591",NA,"m","single","virgo",NA,NA,NA
"17592","likes dogs and likes cats","m","single","gemini",NA,"dogs/cats",NA
"17593",NA,"m","single","leo",NA,NA,NA
"17594","likes dogs and likes cats","m","single","pisces",NA,"dogs/cats",NA
"17595","likes dogs","f","single","cancer",NA,"dogs",NA
"17596",NA,"m","single","libra",NA,NA,NA
"17597",NA,"m","available","cancer",NA,NA,NA
"17598","has dogs","f","single","virgo",NA,NA,"dogs"
"17599","likes dogs and likes cats","m","married","cancer",NA,"dogs/cats",NA
"17600","likes dogs and likes cats","f","single","gemini",NA,"dogs/cats",NA
"17601",NA,"m","single","taurus",NA,NA,NA
"17602","likes dogs and likes cats","m","single","libra",NA,"dogs/cats",NA
"17603","has dogs and has cats","f","seeing someone","capricorn",NA,NA,"dogs/cats"
"17604","has dogs and likes cats","m","single","capricorn",NA,"cats","dogs"
"17605",NA,"m","married","gemini",NA,NA,NA
"17606","likes dogs","f","single","capricorn",NA,"dogs",NA
"17607","likes dogs and likes cats","m","single","gemini",NA,"dogs/cats",NA
"17608","has dogs and likes cats","m","single","gemini",NA,"cats","dogs"
"17609",NA,"f","single","aquarius",NA,NA,NA
"17610","likes dogs and has cats","m","single","aries",NA,"dogs","cats"
"17611",NA,"m","single","taurus",NA,NA,NA
"17612",NA,"m","single","virgo",NA,NA,NA
"17613","likes dogs and likes cats","m","available","cancer",NA,"dogs/cats",NA
"17614","likes dogs","m","single","libra",NA,"dogs",NA
"17615","has dogs","f","single","aries",NA,NA,"dogs"
"17616","has dogs and likes cats","m","single","taurus",NA,"cats","dogs"
"17617","likes dogs","m","single","aquarius",NA,"dogs",NA
"17618","has dogs and likes cats","m","single","capricorn",NA,"cats","dogs"
"17619","likes dogs and likes cats","m","single","cancer",NA,"dogs/cats",NA
"17620","likes dogs and likes cats","f","single","pisces",NA,"dogs/cats",NA
"17621",NA,"m","single","taurus",NA,NA,NA
"17622","likes dogs and likes cats","f","single","libra",NA,"dogs/cats",NA
"17623","likes dogs and likes cats","m","single","leo",NA,"dogs/cats",NA
"17624","likes dogs and has cats","f","seeing someone","leo",NA,"dogs","cats"
"17625","likes dogs","m","single","pisces",NA,"dogs",NA
"17626",NA,"m","single","sagittarius",NA,NA,NA
"17627","likes dogs and likes cats","m","single","aries",NA,"dogs/cats",NA
"17628",NA,"m","single","libra",NA,NA,NA
"17629","has dogs","m","single","libra",NA,NA,"dogs"
"17630","likes dogs and likes cats","m","single","gemini",NA,"dogs/cats",NA
"17631",NA,"m","single","scorpio",NA,NA,NA
"17632",NA,"m","single","taurus",NA,NA,NA
"17633","likes dogs","m","single","libra",NA,"dogs",NA
"17634","likes dogs and likes cats","m","single","scorpio",NA,"dogs/cats",NA
"17635","has dogs","m","single","aries",NA,NA,"dogs"
"17636",NA,"m","single","gemini",NA,NA,NA
"17637","likes dogs and has cats","m","single","aquarius",NA,"dogs","cats"
"17638","likes dogs","m","single","pisces",NA,"dogs",NA
"17639","likes dogs and likes cats","m","single","virgo",NA,"dogs/cats",NA
"17640","likes dogs and has cats","m","single","leo",NA,"dogs","cats"
"17641",NA,"m","single","virgo",NA,NA,NA
"17642","likes dogs and likes cats","m","single","taurus",NA,"dogs/cats",NA
"17643","has dogs and likes cats","f","single","sagittarius",NA,"cats","dogs"
"17644","has cats","m","single","taurus",NA,NA,"cats"
"17645","likes dogs and has cats","m","single","cancer",NA,"dogs","cats"
"17646","likes dogs and has cats","f","single","sagittarius",NA,"dogs","cats"
"17647","likes dogs and likes cats","m","single","taurus",NA,"dogs/cats",NA
"17648","has dogs and has cats","m","single","libra",NA,NA,"dogs/cats"
"17649",NA,"m","single","taurus",NA,NA,NA
